item_id,keyword_id
B00007GDFV,383
B00007GDFV,1411
B00007GDFV,1505
B00007GDFV,2601
B00007GDFV,3250
B00007GDFV,3320
B00007GDFV,3326
B00007GDFV,3424
B00007GDFV,3545
B0002PR25Y,27
B0002PR25Y,691
B0002PR25Y,1308
B0002PR25Y,1994
B0002PR25Y,2026
B0002PR25Y,2026
B0002PR25Y,2362
B0002PR25Y,2362
B0002PR25Y,3424
B0002PR25Y,3424
B0002Z1JNK,202
B0002Z1JNK,290
B0002Z1JNK,940
B0002Z1JNK,1002
B0002Z1JNK,2448
B0002Z1JNK,2448
B0002Z1JNK,2813
B0002Z1JNK,2813
B0002Z1JNK,3056
B0002Z1JNK,3056
B00061RG3M,2335
B00061RG3M,2335
B00061RG3M,2535
B00061RG3M,2535
B00061RG3M,2835
B00061RG3M,2835
B00061RG3M,2983
B00061RG3M,2983
B00061RG3M,3386
B00061RG3M,3386
B00062NHH0,430
B00062NHH0,852
B00062NHH0,994
B00062NHH0,1394
B00062NHH0,1505
B00062NHH0,3424
B00062NHH0,3460
B00062NHH0,3486
B00062NHH0,3497
B00062NHH0,3567
B00063VWSA,697
B00063VWSA,1083
B00063VWSA,2593
B00063VWSA,2798
B00063VWSA,2837
B00063VWSA,2837
B00063VWSA,2931
B00063VWSA,2931
B00063VWSA,3237
B00063VWSA,3237
B00063W5J0,1761
B00063W5J0,1761
B00063W5J0,2770
B00063W5J0,2770
B00063W5J0,2835
B00063W5J0,2835
B00063W5J0,2856
B00063W5J0,2856
B00066G516,334
B00066G516,527
B00066G516,1058
B00066G516,1890
B00066G516,2655
B00066G516,3168
B00066G516,3194
B00066G516,3286
B00066G516,3343
B00066G516,3460
B0006FUF68,2278
B0006FUF68,2278
B0006FUF68,2456
B0006FUF68,2456
B0006FUF68,2601
B0006FUF68,2601
B0006FUF68,2837
B0006FUF68,2837
B0006FUF68,3545
B0006FUF68,3545
B0006M4LD4,1395
B0006M4LD4,1395
B0006M4LD4,1515
B0006M4LD4,1515
B0006M4LD4,1660
B0006M4LD4,1660
B0006M4LD4,3320
B0006M4LD4,3320
B0007NBT3M,2138
B0007NBT3M,2138
B0007YGI9G,2502
B0007YGI9G,2502
B00080L00Q,377
B00080L00Q,1077
B00080L00Q,1195
B00080L00Q,1395
B00080L00Q,1411
B00080L00Q,3073
B00080L00Q,3212
B00080L00Q,3243
B00080L00Q,3358
B00080L00Q,3545
B000851GK0,2
B000851GK0,2
B0008F6WMM,71
B0008F6WMM,1058
B0008F6WMM,1115
B0008F6WMM,1515
B0008F6WMM,2671
B0008F6WMM,3292
B0008F6WMM,3351
B0008F6WMM,3424
B0008F6WMM,3455
B0008F6WMM,3497
B0008GNA8U,1904
B0008GNA8U,1904
B0009M96EK,202
B0009M96EK,1018
B0009M96EK,1515
B0009M96EK,2623
B0009M96EK,3008
B0009M96EK,3054
B0009M96EK,3054
B0009M96EK,3169
B0009M96EK,3386
B0009M96EK,3551
B0009MZWKW,2655
B0009MZWKW,2655
B0009NYJF0,163
B0009NYJF0,527
B0009NYJF0,550
B0009NYJF0,2484
B0009NYJF0,2489
B0009NYJF0,2734
B0009NYJF0,2751
B0009NYJF0,2835
B0009NYJF0,3149
B0009NYJF0,3332
B000A15X6K,911
B000A15X6K,911
B000A15X6K,912
B000A15X6K,912
B000A15X6K,1077
B000A15X6K,1077
B000A15X6K,1194
B000A15X6K,1194
B000A15X6K,3169
B000A15X6K,3169
B000A5OVGE,1515
B000A5OVGE,1515
B000A5OVGE,2000
B000A5OVGE,2000
B000A5OVGE,2138
B000A5OVGE,2138
B000A5OVGE,3346
B000A5OVGE,3346
B000A5OVGE,3545
B000A5OVGE,3545
B000AL4RXA,205
B000AL4RXA,852
B000AL4RXA,1195
B000AL4RXA,2484
B000AL4RXA,2489
B000AL4RXA,2972
B000AL4RXA,2980
B000AL4RXA,2983
B000AL4RXA,3006
B000AL4RXA,3395
B000AO7PY0,377
B000AO7PY0,852
B000AO7PY0,1058
B000AO7PY0,2498
B000AO7PY0,3030
B000AO7PY0,3424
B000AO7PY0,3444
B000AO7PY0,3448
B000AO7PY0,3465
B000AO7PY0,3530
B000AUG4LO,202
B000AUG4LO,1110
B000AUG4LO,1505
B000AUG4LO,1505
B000AUG4LO,1890
B000AUG4LO,1890
B000AUG4LO,2484
B000AUG4LO,2484
B000AUG4LO,2489
B000AUG4LO,2489
B000C0OK5O,334
B000C0OK5O,1411
B000C0OK5O,1505
B000C0OK5O,2130
B000C0OK5O,2993
B000C0OK5O,2999
B000C0OK5O,3424
B000C0OK5O,3551
B000C0OK5O,3570
B000C0OK5O,3570
B000C47BRE,2484
B000C47BRE,2484
B000C47BRE,2489
B000C47BRE,2489
B000EB3RXM,994
B000EB3RXM,1735
B000EB3RXM,1931
B000EB3RXM,2026
B000EB3RXM,2840
B000EB3RXM,2953
B000EB3RXM,2954
B000EB3RXM,2983
B000EB3RXM,3320
B000EB3RXM,3320
B000EE1NNA,163
B000EE1NNA,334
B000EE1NNA,852
B000EE1NNA,1058
B000EE1NNA,2564
B000EE1NNA,3481
B000EE1NNA,3497
B000EE1NNA,3512
B000EE1NNA,3517
B000EE1NNA,3545
B000ER9V68,550
B000ER9V68,661
B000ER9V68,1058
B000ER9V68,1890
B000ER9V68,2601
B000ER9V68,3424
B000ER9V68,3461
B000ER9V68,3480
B000ER9V68,3496
B000ER9V68,3580
B000EVEAS8,377
B000EVEAS8,1505
B000EVEAS8,3332
B000EVEAS8,3424
B000EVEAS8,3424
B000EVEAS8,3437
B000EVEAS8,3437
B000EVEAS8,3462
B000EVEAS8,3497
B000EVEAS8,3545
B000EWG4TU,164
B000EWG4TU,164
B000EWG4TU,809
B000EWG4TU,809
B000EWG4TU,985
B000EWG4TU,985
B000EWG4TU,1195
B000EWG4TU,1195
B000EYBIJE,177
B000EYBIJE,336
B000EYBIJE,2819
B000EYBIJE,2929
B000EYBIJE,3326
B000EYBIJE,3326
B000EYBIJE,3383
B000EYBIJE,3395
B000EYBIJE,3544
B000EYBIJE,3545
B000F4KPIS,690
B000F4KPIS,1058
B000F4KPIS,1890
B000F4KPIS,1981
B000F4KPIS,2072
B000F4KPIS,3054
B000F4KPIS,3169
B000F4KPIS,3237
B000F4KPIS,3392
B000F4KPIS,3544
B000FEPJF2,133
B000FEPJF2,2837
B000G01UBW,852
B000G01UBW,1026
B000G01UBW,1195
B000G01UBW,1394
B000G01UBW,3142
B000G01UBW,3385
B000G01UBW,3386
B000G01UBW,3400
B000G01UBW,3414
B000G01UBW,3549
B000G4OZ42,433
B000GHMRLW,682
B000GHMRLW,852
B000GHMRLW,1195
B000GHMRLW,1298
B000GHMRLW,1875
B000GHMRLW,3497
B000GHMRLW,3512
B000GHMRLW,3522
B000GHMRLW,3545
B000GHMRLW,3549
B000GHRZN2,682
B000GHRZN2,852
B000GHRZN2,1195
B000GHRZN2,1298
B000GHRZN2,1875
B000GHRZN2,3497
B000GHRZN2,3512
B000GHRZN2,3522
B000GHRZN2,3545
B000GHRZN2,3549
B000GRM1X6,550
B000GRM1X6,661
B000GRM1X6,760
B000GRM1X6,760
B000GRM1X6,965
B000GRM1X6,1011
B000GRM1X6,1011
B000GRM1X6,1508
B000GRM1X6,2121
B000GRM1X6,2121
B000H171XG,202
B000H171XG,290
B000H171XG,2448
B000H2PMMW,1505
B000H2PMMW,1735
B000H2PMMW,3141
B000H2PMMW,3142
B000H2PMMW,3281
B000H2PMMW,3343
B000H2PMMW,3350
B000H2PMMW,3386
B000H2PMMW,3386
B000H2PMMW,3414
B000H3Z9RO,550
B000H3Z9RO,1058
B000H3Z9RO,1058
B000H3Z9RO,2484
B000H3Z9RO,2553
B000H3Z9RO,2553
B000H3Z9RO,2601
B000H3Z9RO,2601
B000H3Z9RO,3054
B000H3Z9RO,3054
B000HOGHMO,2521
B000HOGHMO,2521
B000HOGHMO,3341
B000HOGHMO,3341
B000HOGHMO,3346
B000HOGHMO,3346
B000HOGHMO,3373
B000HOGHMO,3373
B000HOGHMO,3462
B000HOGHMO,3462
B000HQ4P9O,1058
B000HQ4P9O,1927
B000HQ4P9O,2130
B000HQ4P9O,2671
B000HQ4P9O,2881
B000HQ4P9O,3277
B000HQ4P9O,3332
B000HQ4P9O,3424
B000HQ4P9O,3522
B000HQ4P9O,3529
B000HR77R0,1058
B000HR77R0,1508
B000HR77R0,1540
B000HR77R0,1540
B000HR77R0,2498
B000HR77R0,2498
B000HR77R0,2813
B000HR77R0,2813
B000HR77R0,2972
B000HR77R0,2972
B000I9OI6A,3452
B000I9OI6A,3452
B000IF0XQS,6
B000IF0XQS,140
B000IF0XQS,527
B000IF0XQS,527
B000IF0XQS,1026
B000IF0XQS,1026
B000IF0XQS,1780
B000IF0XQS,1780
B000IF0XQS,1927
B000IF0XQS,1927
B000IUX7U2,15
B000IUX7U2,334
B000IUX7U2,852
B000IUX7U2,1058
B000IUX7U2,1890
B000IUX7U2,3427
B000IUX7U2,3429
B000IUX7U2,3462
B000IUX7U2,3481
B000IUX7U2,3488
B000J3ROES,527
B000J3ROES,1058
B000J3ROES,2785
B000J3ROES,2992
B000J3ROES,2993
B000J3ROES,3414
B000J3ROES,3424
B000J3ROES,3462
B000J3ROES,3465
B000J3ROES,3544
B000J4AGI8,334
B000J4AGI8,430
B000J4AGI8,2448
B000J4AGI8,3386
B000J4AGI8,3497
B000JOOR7O,430
B000JOOR7O,1505
B000JOOR7O,2484
B000JOOR7O,2489
B000JOOR7O,3256
B000JOOR7O,3544
B000JOOR7O,3545
B000JOOR7O,3546
B000JOOR7O,3549
B000JOOR7O,3557
B000JPPOZ2,1058
B000JPPOZ2,1195
B000JPPOZ2,1981
B000JPPOZ2,2498
B000JPPOZ2,2601
B000JPPOZ2,2944
B000JPPOZ2,3097
B000JPPOZ2,3283
B000JPPOZ2,3347
B000JPPOZ2,3481
B000JRNAGK,1860
B000JRNAGK,1860
B000JRNAGK,2140
B000JRNAGK,2140
B000JRNAGK,2484
B000JRNAGK,2484
B000JRNAGK,2489
B000JRNAGK,2489
B000JRNAGK,3312
B000JRNAGK,3312
B000K2PJ4K,1505
B000K2PJ4K,1515
B000K2PJ4K,2601
B000K2PJ4K,2671
B000K2PJ4K,3180
B000K2PJ4K,3497
B000K2PJ4K,3522
B000K2PJ4K,3544
B000K2PJ4K,3545
B000K2PJ4K,3549
B000KBMJA8,2484
B000KBMJA8,2484
B000KBMJA8,2489
B000KBMJA8,2489
B000KBMJA8,2631
B000KBMJA8,2631
B000KBMJA8,2888
B000KBMJA8,2888
B000KBMJA8,3420
B000KBMJA8,3420
B000KKPX0C,1026
B000KKPX0C,2489
B000KKPX0C,2654
B000KKPX0C,2655
B000KKPX0C,2856
B000KKPX0C,3345
B000KKPX0C,3347
B000KKPX0C,3424
B000KKPX0C,3485
B000KKPX0C,3497
B000KKSU7A,1077
B000KKSU7A,1077
B000KKSU7A,1505
B000KKSU7A,1505
B000KKSU7A,2489
B000KKSU7A,2489
B000KKSU7A,2601
B000KKSU7A,2601
B000KKSU7A,3256
B000KKSU7A,3256
B000KPIHQ4,430
B000KPIHQ4,1026
B000KPIHQ4,1505
B000KPIHQ4,1860
B000KPIHQ4,2489
